Year;Month;Average_Temperature (Â°C);Precipitation (mm);;;
1991;1;6.6288147;2.8168716;;-1.200731178;4.191816461
1991;1;6.5643616;2.8031626;;-14.143646;0.36775228
1991;1;6.4410706;2.6933708;;11.09903;15.525721
1991;1;5.8700256;2.7228155;;;
1991;1;5.384186;3.2820263;;;
1991;1;5.308258;3.3161201;;;
1991;1;5.0489807;3.6912718;;;
1991;1;4.5065002;2.6560583;;;
1991;1;4.466461;3.7382402;;;
1991;1;3.2955627;3.0169048;;;
1991;1;3.085846;3.5190144;;;
1991;1;2.8900452;3.4791985;;;
1991;1;2.0785217;4.091338;;;
1991;1;1.870758;4.6200314;;;
1991;1;1.7713928;4.5734205;;;
1991;1;1.4501038;3.502921;;;
1991;1;1.386383;4.3068686;;;
1991;1;0.63809204;3.7929573;;;
1991;1;-0.77230835;3.8553038;;;
1991;1;-1.486908;4.7978916;;;
1991;1;-1.7290955;4.028157;;;
1991;1;-2.0940857;5.323724;;;
1991;1;-2.5506287;5.2218;;;
1991;1;-2.554535;5.5850306;;;
1991;1;-2.9224548;5.4653444;;;
1991;1;-3.2989197;4.318551;;;
1991;1;-3.4353943;3.191904;;;
1991;1;-4.8387146;2.8019705;;;
1991;1;-4.8470154;4.924611;;;
1991;1;-5.700531;4.9851694;;;
1991;1;-5.882904;0.60565865;;;
1991;1;-6.105072;5.1817455;;;
1991;1;-6.1634216;5.2527943;;;
1991;1;-6.2137146;4.2019644;;;
1991;1;-6.2930603;5.3537645;;;
1991;1;-6.332611;1.1829892;;;
1991;1;-6.43808;2.381281;;;
1991;1;-7.31015;4.2209187;;;
1991;1;-7.8872986;2.0727673;;;
1991;1;-7.934662;4.093007;;;
1991;1;-8.071869;1.1906186;;;
1991;1;-8.086761;3.8505354;;;
1991;1;-8.086761;3.0576744;;;
1991;1;-8.104095;3.5072126;;;
1991;1;-9.0660095;2.9547968;;;
1991;1;-9.180511;2.2916355;;;
1991;1;-9.192963;1.8548528;;;
1991;1;-9.299408;1.5408555;;;
1991;1;-9.348724;2.7044573;;;
1992;1;2.8399963;3.515186;;;
1992;1;2.6896057;3.8505218;;;
1992;1;2.5006409;4.0932317;;;
1992;1;1.7208557;4.4662375;;;
1992;1;1.5226135;4.2963643;;;
1992;1;1.3507385;4.6467204;;;
1992;1;0.9977112;4.980745;;;
1992;1;0.28359985;5.072059;;;
1992;1;0.19522095;5.375089;;;
1992;1;-0.24545288;5.8013816;;;
1992;1;-1.0325623;5.4978747;;;
1992;1;-1.297699;6.491961;;;
1992;1;-1.3018494;5.7330747;;;
1992;1;-1.8511658;6.0017724;;;
1992;1;-1.9515076;6.2357802;;;
1992;1;-2.0450134;6.1174054;;;
1992;1;-2.2176208;6.316008;;;
1992;1;-2.6307068;6.2319655;;;
1992;1;-3.5645447;5.8633704;;;
1992;1;-4.245453;6.659927;;;
1992;1;-4.8260193;6.6732783;;;
1992;1;-5.2115173;7.011952;;;
1992;1;-5.482025;7.2054286;;;
1992;1;-5.7098083;5.85741;;;
1992;1;-5.8228455;5.311789;;;
1992;1;-6.018402;7.442655;;;
1992;1;-6.224945;7.479133;;;
1992;1;-7.104828;4.5549293;;;
1992;1;-7.752533;6.718101;;;
1992;1;-8.397797;6.85698;;;
1992;1;-8.513275;6.4392705;;;
1992;1;-8.622894;5.4323096;;;
1992;1;-8.715912;6.8802257;;;
1992;1;-8.761566;6.7388434;;;
1992;1;-8.960541;3.8407466;;;
1992;1;-9.123871;2.599182;;;
1992;1;-9.34848;1.6170166;;;
1992;1;-10.092621;5.6394954;;;
1992;1;-10.355804;3.5359285;;;
1992;1;-10.422455;4.612388;;;
1992;1;-10.519379;5.1873345;;;
1992;1;-10.625824;5.6640525;;;
1992;1;-10.698334;5.503835;;;
1992;1;-11.07309;2.2692106;;;
1992;1;-11.846283;3.526511;;;
1992;1;-11.863617;3.157439;;;
1992;1;-11.901215;4.0048976;;;
1992;1;-11.917084;2.7135036;;;
1992;1;-12.108734;3.8525484;;;
1993;1;5.2357483;2.8279428;;;
1993;1;4.994293;3.1451588;;;
1993;1;4.7728577;3.0989652;;;
1993;1;4.099762;3.328741;;;
1993;1;4.0343323;2.6270156;;;
1993;1;3.771881;2.9911404;;;
1993;1;3.340973;3.4142737;;;
1993;1;2.7191467;4.057825;;;
1993;1;2.652008;3.7070518;;;
1993;1;1.7962952;3.0838256;;;
1993;1;1.7674866;4.4385796;;;
1993;1;1.1595764;4.3126945;;;
1993;1;0.83462524;3.4756665;;;
1993;1;0.3710022;3.915072;;;
1993;1;0.32803345;4.088879;;;
1993;1;0.30532837;4.779101;;;
1993;1;-0.041107178;3.9757495;;;
1993;1;-0.6985779;4.672051;;;
1993;1;-1.8916931;3.9389734;;;
1993;1;-2.3753357;4.4401293;;;
1993;1;-2.7845154;5.086959;;;
1993;1;-3.2293396;4.56816;;;
1993;1;-3.3008728;4.747451;;;
1993;1;-3.4527283;4.879356;;;
1993;1;-3.6685486;4.844189;;;
1993;1;-4.328705;4.170001;;;
1993;1;-4.4356384;3.938437;;;
1993;1;-5.1539;4.7340994;;;
1993;1;-5.6648865;4.6490436;;;
1993;1;-5.7705994;3.4307246;;;
1993;1;-6.0586853;4.6547656;;;
1993;1;-6.5623474;4.6802764;;;
1993;1;-7.0052185;4.656077;;;
1993;1;-7.395355;3.9916043;;;
1993;1;-7.7535095;2.841354;;;
1993;1;-7.886322;1.8472676;;;
1993;1;-8.00473;1.2709503;;;
1993;1;-8.145355;4.3234234;;;
1993;1;-8.617523;4.1784053;;;
1993;1;-8.774994;3.9127474;;;
1993;1;-8.933685;3.566504;;;
1993;1;-8.976166;3.151596;;;
1993;1;-9.00058;2.424777;;;
1993;1;-9.520355;1.6075377;;;
1993;1;-10.056;3.2044654;;;
1993;1;-10.269379;1.7911797;;;
1993;1;-10.308685;2.433837;;;
1993;1;-10.320892;2.1196609;;;
1993;1;-10.37265;2.8740768;;;
1994;1;9.132233;3.8099878;;;
1994;1;8.989166;3.9675822;;;
1994;1;8.79776;4.1790595;;;
1994;1;8.166901;4.638492;;;
1994;1;8.068268;4.3739667;;;
1994;1;7.92276;4.5517077;;;
1994;1;7.71817;5.0027957;;;
1994;1;7.0677795;5.479275;;;
1994;1;6.863678;5.6189885;;;
1994;1;6.0189514;4.881679;;;
1994;1;5.9427795;6.047665;;;
1994;1;5.5033264;6.065785;;;
1994;1;5.3993225;5.131065;;;
1994;1;5.207428;5.641042;;;
1994;1;5.2015686;5.90223;;;
1994;1;4.5628967;5.8404794;;;
1994;1;4.5555725;6.0638776;;;
1994;1;3.5560608;6.1749806;;;
1994;1;2.3954163;5.6355586;;;
1994;1;2.233307;5.9435954;;;
1994;1;1.841217;6.062924;;;
1994;1;1.8036194;6.176888;;;
1994;1;1.5819397;6.031214;;;
1994;1;1.5311584;6.0443273;;;
1994;1;1.4955139;6.225406;;;
1994;1;0.1859436;5.63079;;;
1994;1;-0.31600952;5.3581586;;;
1994;1;-1.2232361;5.688726;;;
1994;1;-1.5313416;4.685818;;;
1994;1;-1.7569275;5.6233993;;;
1994;1;-1.7657166;5.5688014;;;
1994;1;-1.7666931;5.6046834;;;
1994;1;-2.2691345;5.6304326;;;
1994;1;-2.4805603;1.2890689;;;
1994;1;-2.9356384;5.15896;;;
1994;1;-3.4200134;2.347409;;;
1994;1;-3.4795837;3.9920201;;;
1994;1;-4.417572;1.872956;;;
1994;1;-4.607025;4.970609;;;
1994;1;-4.7686462;3.1662576;;;
1994;1;-4.910248;3.935515;;;
1994;1;-5.0430603;4.9002757;;;
1994;1;-5.061615;4.657685;;;
1994;1;-5.119232;4.335939;;;
1994;1;-6.1592712;2.2925727;;;
1994;1;-6.552826;2.6853673;;;
1994;1;-6.697357;3.801047;;;
1994;1;-6.754486;3.0462139;;;
1994;1;-6.981537;3.4953945;;;
1995;1;8.155426;1.5650531;;;
1995;1;8.071442;1.8317839;;;
1995;1;7.8561096;1.8853089;;;
1995;1;7.21817;2.1407745;;;
1995;1;7.0536194;1.7098328;;;
1995;1;6.9632874;2.0155451;;;
1995;1;6.704254;2.4608514;;;
1995;1;6.077057;2.7554176;;;
1995;1;5.9794006;2.5627754;;;
1995;1;4.931305;3.0518315;;;
1995;1;4.909088;2.204015;;;
1995;1;4.5204163;3.1338475;;;
1995;1;3.933014;2.4176977;;;
1995;1;3.7882385;3.3117077;;;
1995;1;3.6612854;2.897992;;;
1995;1;3.3292542;3.5591862;;;
1995;1;3.278717;3.6880515;;;
1995;1;2.2152405;3.5511992;;;
1995;1;1.0226135;3.4220955;;;
1995;1;0.96328735;3.365948;;;
1995;1;0.3282776;4.108383;;;
1995;1;0.10244751;3.8659713;;;
1995;1;-0.09213257;3.4085653;;;
1995;1;-0.1458435;3.7498615;;;
1995;1;-0.46224976;3.4271023;;;
1995;1;-0.9222107;3.3673189;;;
1995;1;-1.4649353;2.9302976;;;
1995;1;-2.0464783;3.1452916;;;
1995;1;-2.316986;3.0548117;;;
1995;1;-2.4639587;2.3321054;;;
1995;1;-2.4815369;0.495567;;;
1995;1;-2.5447693;3.0435464;;;
1995;1;-2.880951;3.1861207;;;
1995;1;-3.0594177;3.2465003;;;
1995;1;-3.4622498;2.7255557;;;
1995;1;-3.4634705;0.91476643;;;
1995;1;-4.051361;1.7632982;;;
1995;1;-4.6421814;0.6781956;;;
1995;1;-4.9639587;1.2789508;;;
1995;1;-4.9913025;2.359285;;;
1995;1;-5.07016;1.8024584;;;
1995;1;-5.1473083;2.0218036;;;
1995;1;-5.2710876;2.1910212;;;
1995;1;-5.3108826;2.3154757;;;
1995;1;-6.4324646;0.7760068;;;
1995;1;-6.758148;0.9724637;;;
1995;1;-6.804779;1.6477844;;;
1995;1;-6.868988;1.1923453;;;
1995;1;-7.011078;1.4591953;;;
1996;1;8.045074;5.4766154;;;
1996;1;7.9239807;5.970738;;;
1996;1;7.6178284;6.267569;;;
1996;1;6.8312073;5.5746055;;;
1996;1;6.7467346;6.469748;;;
1996;1;6.707672;6.094835;;;
1996;1;6.4093323;6.6174483;;;
1996;1;5.5152893;6.9244123;;;
1996;1;5.1422424;6.104729;;;
1996;1;4.6114807;5.9418893;;;
1996;1;3.8121643;6.172321;;;
1996;1;3.5606995;6.517074;;;
1996;1;3.546051;6.379626;;;
1996;1;3.4337463;6.723902;;;
1996;1;3.256012;7.038138;;;
1996;1;2.5397034;6.1277366;;;
1996;1;1.9376526;6.1806655;;;
1996;1;0.9449768;6.4608073;;;
1996;1;-0.06918335;7.141969;;;
1996;1;-0.15512085;5.770943;;;
1996;1;-0.37338257;5.9607244;;;
1996;1;-0.7732849;6.97448;;;
1996;1;-1.1736755;7.5335717;;;
1996;1;-1.4197693;7.532022;;;
1996;1;-1.5364685;6.538174;;;
1996;1;-2.2000427;5.217693;;;
1996;1;-3.2400818;5.470178;;;
1996;1;-3.6873474;6.020806;;;
1996;1;-4.219574;4.432342;;;
1996;1;-4.5716248;5.9749103;;;
1996;1;-4.877777;5.9225774;;;
1996;1;-4.972992;5.833051;;;
1996;1;-5.1009216;5.3889966;;;
1996;1;-5.341156;1.7682526;;;
1996;1;-5.4393005;4.6081758;;;
1996;1;-5.643402;2.5109265;;;
1996;1;-5.8631287;3.5482857;;;
1996;1;-6.3401794;4.681728;;;
1996;1;-6.907074;4.5550084;;;
1996;1;-7.1219177;4.344127;;;
1996;1;-7.176605;2.9764388;;;
1996;1;-7.3440857;3.6449645;;;
1996;1;-7.3728943;4.0247655;;;
1996;1;-7.3821716;2.045295;;;
1996;1;-8.41391;3.0992243;;;
1996;1;-8.513031;2.1460268;;;
1996;1;-8.653168;2.3191187;;;
1996;1;-8.787933;2.555034;;;
1996;1;-8.851898;2.8835747;;;
1997;1;7.6927795;1.616074;;;
1997;1;7.4984436;1.8338693;;;
1997;1;7.231842;1.9927753;;;
1997;1;6.7567444;1.7821921;;;
1997;1;6.56485;2.022101;;;
1997;1;6.5204163;2.2715464;;;
1997;1;6.370514;2.4027958;;;
1997;1;5.6913147;2.685143;;;
1997;1;5.1493225;2.6337638;;;
1997;1;4.7884827;1.9511713;;;
1997;1;4.1844788;2.2882357;;;
1997;1;4.0106506;2.6961102;;;
1997;1;3.995514;3.1181111;;;
1997;1;3.882721;2.9575362;;;
1997;1;3.8207092;2.9975905;;;
1997;1;2.9339905;3.1433835;;;
1997;1;2.2704163;3.6499038;;;
1997;1;1.2811584;3.4316316;;;
1997;1;0.6493225;2.6191607;;;
1997;1;0.21182251;3.1172767;;;
1997;1;0.005767822;2.8527513;;;
1997;1;-0.29891968;2.9792323;;;
1997;1;-0.32235718;3.2258167;;;
1997;1;-0.39804077;3.3649936;;;
1997;1;-1.0733337;3.8987532;;;
1997;1;-2.3091736;3.0084386;;;
1997;1;-2.7691345;3.0901566;;;
1997;1;-3.7486267;2.782835;;;
1997;1;-4.1929626;2.5014415;;;
1997;1;-4.7808533;2.8659835;;;
1997;1;-4.847748;1.0103716;;;
1997;1;-5.079193;1.3259186;;;
1997;1;-5.195404;2.9518738;;;
1997;1;-5.2764587;2.9871001;;;
1997;1;-5.285248;3.001584;;;
1997;1;-5.4146423;2.7260914;;;
1997;1;-5.6075134;2.1504893;;;
1997;1;-6.5884705;2.4255648;;;
1997;1;-6.879486;1.6510619;;;
1997;1;-7.1651306;2.0444527;;;
1997;1;-7.197357;2.482666;;;
1997;1;-7.205658;1.218213;;;
1997;1;-7.2168884;2.2777452;;;
1997;1;-7.269623;2.4240746;;;
1997;1;-8.435638;1.8245114;;;
1997;1;-8.445892;1.3740195;;;
1997;1;-8.51181;1.50813;;;
1997;1;-8.541107;1.2942685;;;
1997;1;-8.764252;1.7129315;;;
1998;1;5.4396057;3.6225498;;;
1998;1;5.3111877;3.778237;;;
1998;1;5.111725;3.8535774;;;
1998;1;4.2220764;4.2016683;;;
1998;1;4.0902405;3.4783065;;;
1998;1;3.9422913;3.658551;;;
1998;1;3.6075745;3.9494214;;;
1998;1;2.7088928;4.335898;;;
1998;1;2.535553;4.679936;;;
1998;1;1.7176819;5.2753863;;;
1998;1;1.5602112;3.6931217;;;
1998;1;0.8883362;4.7633824;;;
1998;1;0.57901;5.859035;;;
1998;1;0.53115845;3.8371265;;;
1998;1;0.36416626;4.18784;;;
1998;1;0.18203735;4.126447;;;
1998;1;-0.10360718;4.322785;;;
1998;1;-0.8851013;5.4303584;;;
1998;1;-1.988617;4.4011054;;;
1998;1;-2.5420837;5.918282;;;
1998;1;-3.019867;4.696625;;;
1998;1;-3.177826;4.3283877;;;
1998;1;-3.7105408;4.457968;;;
1998;1;-4.04599;4.6311793;;;
1998;1;-4.1228943;3.7976682;;;
1998;1;-4.2674255;4.314917;;;
1998;1;-4.2901306;4.491943;;;
1998;1;-5.5205994;3.1099498;;;
1998;1;-5.843109;3.979939;;;
1998;1;-6.2364197;1.1128366;;;
1998;1;-6.455414;3.8923204;;;
1998;1;-6.5193787;3.6827505;;;
1998;1;-6.5906677;3.1727731;;;
1998;1;-6.7603455;3.819126;;;
1998;1;-6.8628845;3.8697898;;;
1998;1;-6.884369;1.5406787;;;
1998;1;-6.9466248;2.3596466;;;
1998;1;-8.047211;2.8219402;;;
1998;1;-8.137054;1.8748224;;;
1998;1;-8.172211;2.2547424;;;
1998;1;-8.20517;1.3321817;;;
1998;1;-8.482513;2.7612627;;;
1998;1;-8.555267;2.4417818;;;
1998;1;-8.626068;2.649802;;;
1998;1;-9.811371;1.4509141;;;
1998;1;-9.812347;1.8758953;;;
1998;1;-10.168793;1.8172443;;;
1998;1;-10.172699;1.5764415;;;
1998;1;-10.17392;1.715678;;;
1999;1;9.207184;1.382208;;;
1999;1;9.008453;1.4610649;;;
1999;1;8.813629;1.677251;;;
1999;1;8.326324;1.4973046;;;
1999;1;8.111969;1.5722872;;;
1999;1;8.055817;1.9719363;;;
1999;1;7.7467346;1.7584325;;;
1999;1;6.9669495;2.057767;;;
1999;1;6.573883;2.2824168;;;
1999;1;6.438629;1.4531971;;;
1999;1;6.0572815;1.528597;;;
1999;1;5.672516;1.7193319;;;
1999;1;5.5812073;2.5066495;;;
1999;1;5.354645;1.8877746;;;
1999;1;5.313141;2.3877978;;;
1999;1;4.690094;2.113974;;;
1999;1;4.2047424;2.7189016;;;
1999;1;3.4977112;2.642727;;;
1999;1;2.9249573;1.5563132;;;
1999;1;2.5924377;2.2814035;;;
1999;1;2.5870667;1.5681745;;;
1999;1;2.3941956;1.6120435;;;
1999;1;2.25943;1.7533065;;;
1999;1;1.955719;1.8465282;;;
1999;1;1.402008;2.818203;;;
1999;1;0.22769165;1.888609;;;
1999;1;-0.20541382;2.377665;;;
1999;1;-0.6746521;1.2139441;;;
1999;1;-1.2347107;1.2573959;;;
1999;1;-1.4300232;1.8061162;;;
1999;1;-1.4358826;1.3270141;;;
1999;1;-1.7693787;1.410997;;;
1999;1;-2.14682;1.0317923;;;
1999;1;-2.8611755;1.504934;;;
1999;1;-2.9060974;1.0955096;;;
1999;1;-3.190277;1.4971257;;;
1999;1;-3.315277;1.3493658;;;
1999;1;-4.630707;1.0657669;;;
1999;1;-4.9964294;1.1387826;;;
1999;1;-5.0716248;0.9976388;;;
1999;1;-5.6946716;1.1927844;;;
1999;1;-5.801117;0.98637354;;;
1999;1;-5.8977966;0.98154557;;;
1999;1;-5.9549255;1.0297657;;;
1999;1;-6.261078;1.0506274;;;
1999;1;-6.697113;0.8999468;;;
1999;1;-7.026703;0.76696885;;;
1999;1;-7.120941;0.8509518;;;
1999;1;-7.4080505;0.80678475;;;
2000;1;7.07193;2.8782644;;;
2000;1;6.8956604;3.6037722;;;
2000;1;6.6940002;4.3296375;;;
2000;1;5.9513245;3.5395184;;;
2000;1;5.9430237;5.2011766;;;
2000;1;5.759918;4.275278;;;
2000;1;5.4962463;5.010442;;;
2000;1;4.75943;5.872325;;;
2000;1;4.3868713;5.8235683;;;
2000;1;3.6393127;4.787878;;;
2000;1;3.1446838;6.6160717;;;
2000;1;2.85318;6.4463177;;;
2000;1;2.618805;6.5280952;;;
2000;1;2.5416565;5.6277075;;;
2000;1;2.2848206;6.3209095;;;
2000;1;1.8419495;6.885127;;;
2000;1;1.3170471;7.508234;;;
2000;1;0.37368774;7.5438776;;;
2000;1;-0.66244507;7.2083035;;;
2000;1;-1.040863;7.2452583;;;
2000;1;-1.2547302;7.787303;;;
2000;1;-1.681488;8.079604;;;
2000;1;-2.0428162;8.179144;;;
2000;1;-2.2635193;7.9801836;;;
2000;1;-2.5467224;8.232192;;;
2000;1;-2.8372498;7.1891108;;;
2000;1;-3.6404724;6.956891;;;
2000;1;-4.6805115;5.8941402;;;
2000;1;-5.186859;7.991151;;;
2000;1;-5.4041443;2.2102156;;;
2000;1;-5.915863;3.4821787;;;
2000;1;-6.0032654;8.155779;;;
2000;1;-6.049652;8.029536;;;
2000;1;-6.108246;6.9675007;;;
2000;1;-6.2659607;8.349852;;;
2000;1;-6.339203;8.182005;;;
2000;1;-6.3450623;4.988269;;;
2000;1;-7.8250427;4.5033255;;;
2000;1;-7.941742;2.9661217;;;
2000;1;-8.022308;7.402853;;;
2000;1;-8.209808;5.6777754;;;
2000;1;-8.343109;6.3517847;;;
2000;1;-8.408539;6.9109955;;;
2000;1;-8.42514;7.28722;;;
2000;1;-9.313812;3.4642973;;;
2000;1;-9.4895935;3.9307632;;;
2000;1;-9.874359;4.4588604;;;
2000;1;-9.974457;5.486206;;;
2000;1;-10.185394;5.090312;;;
2001;1;8.025055;1.1436988;;;
2001;1;7.6354065;1.1560072;;;
2001;1;7.2218323;1.2320925;;;
2001;1;7.035309;0.93609583;;;
2001;1;6.6529846;0.94539416;;;
2001;1;6.403961;1.3686467;;;
2001;1;6.358551;0.9829451;;;
2001;1;5.546051;1.1769284;;;
2001;1;4.957184;0.8088101;;;
2001;1;4.94693;1.3604809;;;
2001;1;4.200836;0.7698287;;;
2001;1;3.952301;0.7954289;;;
2001;1;3.9166565;1.484548;;;
2001;1;3.895172;0.7845212;;;
2001;1;3.7623596;1.2415398;;;
2001;1;3.065094;0.919943;;;
2001;1;2.4029846;1.7352153;;;
2001;1;1.5904846;1.4585603;;;
2001;1;1.0885315;0.97069633;;;
2001;1;0.5982971;1.0288407;;;
2001;1;0.26626587;0.87667;;;
2001;1;0.108551025;0.86981547;;;
2001;1;0.096832275;0.78115356;;;
2001;1;-0.1253357;0.8263637;;;
2001;1;-0.5101013;1.7780412;;;
2001;1;-1.6712341;0.9203006;;;
2001;1;-2.2083435;1.2605835;;;
2001;1;-2.4544373;0.75135124;;;
2001;1;-3.3875427;0.7458974;;;
2001;1;-3.49057;1.048391;;;
2001;1;-3.613617;1.2025882;;;
2001;1;-3.9056091;0.7499505;;;
2001;1;-4.1492615;0.7920612;;;
2001;1;-4.344574;1.3336588;;;
2001;1;-4.412445;0.8891274;;;
2001;1;-4.648773;1.0228206;;;
2001;1;-4.9344177;1.1709679;;;
2001;1;-5.5906677;0.7468511;;;
2001;1;-5.9217224;0.9572853;;;
2001;1;-6.068695;1.0125984;;;
2001;1;-6.3196716;0.77704084;;;
2001;1;-6.3714294;0.8173336;;;
2001;1;-6.5452576;0.77483547;;;
2001;1;-6.5726013;0.7443179;;;
2001;1;-7.622406;0.8134891;;;
2001;1;-7.662445;0.72944653;;;
2001;1;-7.755707;0.72184694;;;
2001;1;-7.8699646;0.71666133;;;
2001;1;-8.05014;0.7319797;;;
2002;1;6.2398987;2.1423588;;;
2002;1;5.818512;2.7529488;;;
2002;1;5.532379;3.3405313;;;
2002;1;4.8614807;2.4585018;;;
2002;1;4.8614807;4.46241;;;
2002;1;4.429352;3.104497;;;
2002;1;4.0919495;4.0212164;;;
2002;1;3.445465;5.225588;;;
2002;1;3.231598;6.0478935;;;
2002;1;2.2511292;3.102828;;;
2002;1;2.0865784;7.4182043;;;
2002;1;1.5509338;6.550003;;;
2002;1;0.8102112;3.7949572;;;
